id,text,label
ES_000,Brayard: Los nazis quisieron ocultar el exterminio de los judíos alemanes @elobrerodigital https://t.co/OqWGeWTPrQ #23F #EG28A #GolpeDeEstado23F #ApuntaMiNombreVox #Desahucios #Manifiesto #PartidoComunista #Marxismo,1
ES_001,Vegi l'acte nazi en un hospital públic de la Generalitat. Está todo en el Programa 2000 de Jordi Pujol. También el uso de los hospitales para difundir nacionalismo. En el Hospital Clínico... https://t.co/uGlxkGy6iZ,0
ES_002,"@InesArrimadas Sin referendum, como sabes que son millones de catalanes constitucionalistas? Curioso. Quizá es que has ido a millones de casas a preguntar, cierto? A Bruselas puedes contar lo que quieras, sólo faltaría! Veremos que caso te hacen. Quizá allí también hay millones de los tuyos.",1
ES_003,"Felipe González impartiendo lecciones de democracia a los venezolanos. De la “OTAN de entrada no”, la X del GAL, Intxaurrondo, Galindo, Juan Guerra, Luis Roldán, Filesa, Garzón y el Banco de España no le han preguntado. Qué raro. https://t.co/CMxM7NxvYp",1
ES_004,"@GNoub @lemonlemonlimon @oriolguellipuig Eso lo hace España y cualquier CCAA, enchufan en altos cargos a los amiguetes afines y cuando se cambia de gobierno, si es otro partido, los destituyen para colocar a los suyos, cosa que está mal, pero se hace y Catalunya no es una excepción...menuda purga hizo Puigdemont!",0
ES_005,En España somos tan Fascistas que: - Se hacen homenajes públicos a terroristas. - Un padre no puede llevar flores a su hija porque un niñato no dice donde esta el cadáver. - Asaltan nuestra frontera y agreden a nuestros cuerpos de seguridad. - Son legales partidos separatistas,0
ES_006,"El baño de Declaraciones de Enric Millo en el Juicio Farsa... ...Es que le gusta mucho usar Fairy , hace más espuma. #Millo #judicifarsa #absolució https://t.co/F4hxAq9d8I",1
ES_007,La UE veta la fusión entre Siemens y Alstom y enfurece Alemania y Francia https://t.co/m4EMUy0aLe,2
ES_008,Leed a Don Julio que sabe de lo que habla en relación a temas publicitarios sobre los que han declarado testigos está tarde. 👇 #JuicioDelProces https://t.co/KrjzDceW11,0
ES_009,"Quim Torra acusa a Tajani, presidente de la Eurocámara, de protagonizar “una de las acciones más antidemocráticas: violar el principio de la libertad de expresión” y de ser un títere de la derecha. Tiene gracia viniendo del gremlin de Puigdemont. https://t.co/sz2uD18eb8",0
ES_010,"RT @LpgpLuis: En PODEMOS la voz la tenemos los inscritos, aunque esto moleste y mucho a la caverna mediática. #LaPatriaSonPersonas https://…",1
ES_011,"RT @CaraotaDigital: Duque recibió credenciales de embajador venezolano de Guaidó en #Bogotá ,, https://t.co/EcrMRPc6hE",2
ES_012,"Oriol Junqueras, candidato de la alianza europea de partidos independentistas https://t.co/bxXIHLn9EM",2
ES_013,"Ahora que leo esto de Raül Romeva he recordado una cosa: mientras los medios españoles criticaban que los independentistas estuvieran al lado de un coche de la guardia civil abierto y con armas, dejar un coche así era infracción de los agentes. https://t.co/Yt3upNTHUC",1
ES_014,RT @ciruela_negra: Pablo Hasel en solidaridad con Abimael Guzmán y los presos políticos del Perú. @PabloHasel https://t.co/lxSIxFWBJB,1
ES_015,La Che-neralitat y sus amigos están tan acostumbrados a su mafieta y a que no haya separación de poderes que Chordi Xanxez se ha olvidado que España es una democracia y ya ha dictado sentencia absolutoria... para qué esperar al juez? Si es que no se les puede sacar de su cortijo https://t.co/QJ6y4eQdk7,0
ES_016,Los procesados tienen la misma desventaja de tener que usar el castellano para declarar que el alumno que tiene que resolver ecuaciones matemáticas en catalan. #JuicioProces,0
ES_017,@rogertorrent ha convertido el #Parlament en el club privado de los separatistas e impide que el partido más votado en Cataluña defienda a todos los catalanes. https://t.co/jo7LCgCDXX,0
ES_018,@Capitan23875159 @enSergioles @J_Zaragoza_ Reino Unido. Ya te irás enterando. Por eso Puigdemont y el Consell de la República tienen puertas abiertas en Westminster. https://t.co/NKIKXvzh0c,1
ES_019,"Nunca será patriota quien se debe a los bancos, quien acepta sin rechistar el austericidio de Bruselas, quien no invierte en sanidad y educación, quien no quiere acabar con el art. 135 que nos quitó la soberanía. #LaPatriaSonPersonas",1
ES_020,#URGENTE por si no lo vio!??? @NicolasMaduro reconoce a Juan Guaido @jguaido como presidente interino de Venezuela y lo acusa mas bien de no haber llamado a elecciones #AunqueUstedNoLOCrea y via @venevision RT @partidoPSUV #6FEB https://t.co/nlTpANwFw6,2
ES_021,"Si queremos una España en la que quepamos todos #elecciones2019votoderechas #28abrilElecciones Estos impresentables, mienten, por sus actos les conocemos, solo quieren el poder, sin importarles la ruptura de nuestro Estado de Derecho. 👇👇 https://t.co/cljt74rmsg",0
ES_022,"@milobanos Para nosotros la mejora es la independencia. Lo siento, no creemos en el estado español ni lo consideramos nuestro. El punto de no retorno ya se pasó.",1
ES_023,"Desde esta cuenta les pido a mis seguidores MÁXIMA DIFUSIÓN. ? Domingo, 12:00 horas. ? Plaza Colón de Madrid. Manifestación contra Sánchez convocada por VOX, PP Y CIUDADANOS. #Españanoserompe #SanchezDimisión #EleccionesYa #EspañaEnLibertad ¡ESPAÑA PIDE ELECCIONES! https://t.co/UXKfKtDi5O",0
ES_024,"España repite en la élite de países con mayor respeto por los derechos políticos. Supera a Francia, Reino Unido, Italia y EEUU en libertades civiles, según el informe de Freedom House relativo a 2018. #CumpleLaLey #LaSilenciosaCat #EleccionesYa https://t.co/N075ninQVF",0
ES_025,RT @elclubdelahucha: Un discurso responsable y sosegado por parte de @sanchezcastejon qué falta nos hace! #SánchezEnRTVE,0
ES_026,Florentino Pérez a favor de la independencia de Cataluña. Es la unica forma de ganar la liga . Ha dicho.,1
ES_027,"#LaPatriaSonPersonas por eso el 28 de Abril, un partido animalista, le dará el sorpasso al partido de personas. Ya carga incluso el PACMA contra Podemos. Viene el sorpasso. https://t.co/VAUXMogcyG",0
ES_028,#Trapote Cortando las carreteras el #1oct y coacción y agresión a quienes protestan. ¿Son estas las barricadas sobre las que interroga el letrado #Pina? Gusto en complecerle. #JuicioDelProces https://t.co/tIqWarjq6A,0
ES_029,"Parece orgulloso de amenazar en el turno de palabra de un pleno de distrito. Mientras afila sus colmillos o hace otras cosas poco útiles, desde Ciudadanos seguimos trabajando para una mejor sociedad, tanto barcelonesa como catalana, española y europea #NoNosCallarán https://t.co/tWfFdmQ0Mo",0
ES_030,"El domingo en la manifestación de Colón, espero que no haya banderas de partidos políticos, ni de PP, Cs, VOX entre otras.. La única bandera debe ser la de España https://t.co/XfV02Q772T",0
ES_031,"II*II Felipe VI, Premio Mundial de la Paz y la Libertad ????????????? Que pena de IDIOTAS ¡¡ Turull Fiscal Omnium #FelizMartes #JudiciTV3CatRàdio #JudiciProcés #judicialademocracia #judici1O https://t.co/yxdUW18NEE",1
ES_032,Arrimadas tiene un par de ovarios y muy claro que hay que defender la democracia española y europea https://t.co/8Foup8uRJT,0
ES_033,Tres congresistas recuerdan la muerte de una niña guatemalteca durante el discurso de Trump https://t.co/uS1XcXSKGf,2
ES_034,"RT @marisolrofe: Casado es un crack, tiene un máster en “cómo mentir sin despeinarse y quedarse tan ancho”. #CaraDeCementoArmado https://t…",2
ES_035,@okdiario 'gorrillas' ¿eh @abalosmeco ? ... no os basta con ser los mamporreros del separatismo si no que además menosprecias a los ciudadanos que hacen el trabajo que se niega a realizar la administración pública que pagamos con nuestros impuestos. Sois unos sinvergüenzas #EleccionesYa,0
ES_036,"PP, Cs y Vox apoyan que la Generalitat devuelva parte de los 'Papeles de Salamanca'. También piden que no se hagan más entregas a los separatistas que quieren romper la unidad de España https://t.co/OeuaO7oBkx",2
ES_037,"@elsa_artadi Ahora como no hay presupuestos y llegarán las retallades, yo creo que lo que procede es abrir el parlament aprobáis una subida salarial para el govern y lo volvéis a cerrar otro a?ito",0
ES_038,"Bea Talegón dice que José Antonio Nieto miente al Supremo en su declaración. O sea, que dice la verdad. #JuicioProcés https://t.co/m3RrFbB9lv vía @diario_16",0
ES_039,"🔵 ¡ACTO DE VOX EN GERONA! 📆 SÁBADO 9 DE MARZO 📍PLAÇA DE CAN PATRAC 1, 17190 SALT. 🕜18:30H ✅ ¡No te lo puedes perder, ven a ver la #EspanaViva en Gerona 🇪🇸! #VOXSaleaGanar #VoxExtremaNecesidad #NoHablesEnMiNombre #YoNoVoy8M https://t.co/y58TTpdtxw",0
ES_040,"@xriusenoticies Claro que no. En Teo va al juzgado lo decía claramente: Haz un referéndum cuando quieras, que no es delito... Si te llega algún aviso legal, ni caso.... https://t.co/yK57ByVUuq",0
ES_041,Los secesionistas catalanistas están haciendo de matones difundiendo la imagen y los datos de la secretaria judicial para demostrar que no son unos matones.,0
ES_042,"Los mismos fascistas que promovieron el veto al acto del legítimo MHP Carles Puigdemont y del MHP Quim Torra en el Parlamento Europeo la semana pasada, tomando su misma medicina en Venezuela, siendo retenidos y expulsados por el gobierno de Nicolás Maduro. A tomar viento... https://t.co/wqVYaR4WMP",1
ES_043,"Pregunta más interesante para mí, podré verlo y vivirlo? Y la humanidad como reaccionará,salvaremos la tierra y nos salvaremos de tirarnos por el precipicio?mientras tanto en mi mundo los políticos y los chorizos, incendiando la convivencia en mi país,no ven k el futuro viene",1
ES_044,"Vaya zascas de Turull a la fiscalia. Este juicio no se aguanta por ningun lado, vaya persecución de ideas. #JuicioProces #inquisiciónespañolaatope",1
ES_045,La Constitución de la república catalana contemplaba prohibir los partidos no independentistas https://t.co/A8I44TaWSO,0
ES_046,"TIC tac TIC tac #inesssss ! Cuidaooo!! Que venen drones indepes a tot arreu 😂😂 Bonito día te ha quedado hoy, jefa 🙄🙄🙊🙊 @jcanadellb https://t.co/xoHR1rxrgP",1
ES_047,"Recuerdo que no podía trabajar, no me concentraba, no dejaba de leer periódicos, entrar en Twitter. Hice acopio de comida. Llamaban los clientes y, con los que sabía que eran no indepes, no hablábamos de otra cosa. Recuerdo el ruido constante de los helicópteros. A todas horas",1
ES_048,? Vuelve a escuchar #LaFirma de @abarceloh25: Sánchez le compra los argumentos a los independentistas ?? https://t.co/ZgQ0TyANtu https://t.co/1zGm2wFH9M,0
ES_049,RT @cridaperlleida: Puedo preguntar por el 20 de septimebre y 1 de octubre señoría? No. No puede #JuficiFarsa,1
ES_050,@JulioMurillo57 @CCivicaCatalana Y es lengua “oficial” en la Casa Blanca. En EEUU no tienen “lengua oficial” en su constitución. Pero cada estado decide. En algunos estados el español es oficial,0
ES_051,"Los votantes de C's son gilipollas, no lo digo yo, lo deja muy claro un asesor de Arrimadas y con su carcajada ella lo confirma. https://t.co/SomqZq1SiV",1
ES_052,"Casi todos los medios convencionales evitan mentarlo o directamente lo niegan, pero el meollo del #JuicioProcés ya no es dirimir si hubo rebelión, sino salir del embrollo sin acabar de hundir la credibilidad del Supremo. @ctxt_es →https://t.co/DrXUWBiaJB https://t.co/YDI9WZnfvI",1
ES_053,"«Cuando los nazis vinieron a por los comunistas, guardé silencio, porque yo no era comunista. Cuando encarcelaron a los sindicalistas, guardé silencio, porque yo no era sindicalista...» Martin Niemöller Yo nunca voy a guardar silencio... #ApuntaMiNombreVox https://t.co/BNMZnVWasX",1
ES_054,"@jonathanmartinz Estos unionistas no para de cagarla hoy este, ayer el del lanzamiento de murallas humanas, más la pava del Borell... https://t.co/s1uEaF1Lg8",1
ES_055,#Política | The Economist sugiere un indulto a los políticos presos (si son condenados) para evitar una mancha en la democracia de España https://t.co/AcMuM6YYDh,0
ES_056,"Si no que maduro internamente la decisión mediante los datos que voy obteniendo. Para asumir si es un bajón anímico, o realmente me estoy metiendo en un callejón sin salida. Y si termina siendo lo segundo: informo de la decisión tomada. Empezando un nuevo camino.",2
ES_057,@crpandemonium Jajaja ... el célebre “pío pío yo no he sido” .. se está poniendo de moda en el Juicio a los golpistas ...,0
ES_058,"7. Atentos al testimonio en el Supremo mañana, porque la Fiscalía (aquí en la AN), dice que en esa reunión del 28-S, los representantes del Gobierno catalán informaron que el referéndum se iba a celebrar en cualquier caso y que necesariamente los Mossos no iba a cumplir. https://t.co/sEKP2SOOFL",0
ES_059,"No haya justicia con CATALUÑA,por los palos k nos dieron seré independentista y depende de lo k dictaminen en esta farsa de juicio,lo seré siempre,el hermano k abuse de otro hermano mío , será mi enemigo,",1
ES_060,"Bé, toca fil sobre els piolindos de jusapol que vindràn el 29S. Tot es públic i res de lo que publico es con ànimo de odio o persecución o discriminación o similar (aviso a xivatas montaquerellas) Vindràn en autocars... #OmplimSantJaume29s https://t.co/AbLUDsnufC",1
ES_061,"Lo que mola, por cierto, es seguidamente ver a Garicano y algunos coleguillas de la compañía #MoreEurope saliendo inmediatamente a defender el silenciamiento porque la democracia, la ley y los Pokémon tipo tierra. Se les notan mucho sus profundas convicciones no-nacionalistas.",2
ES_062,"@agarzon Pues mira que es fácil de entender, quizás necesitáis que te metan a ti en prisión y que @Pablo_Iglesias_ se tenga que exiliar para abrir los ojos. No hay peor ciego que el que no quiere ver. #Francoland #AutodeterminacióNoÉsDelicte",1
ES_063,"Hoy para mi ha sido un día especial a causa de #SiguemeYTeSigoVOX más de cien seguidores a los que he tratado de seguir, si hay alguno que por despiste no haya seguido, hagámelo saber.",0
ES_064,"Dice el Sr. Roger Torrent que volveran a votar, y yo le digo que si, pero bajo el marco constitucional y la legalidad vigente. Porque yo estaré pendiente que así sea. #jacobialcalde #Barcelona #España #unioneuropea https://t.co/104LSr8v86",0
ES_065,"La Ley de Dependencia, todos hemos oido hablar de ella, pero... ¿en qué consiste? ¿quién puede acogerse a ella? ¿qué beneficios tiene? https://t.co/G4Bh8KRVT0 #Dependencia #Discapacidad #Independencia",1
ES_066,"Qué calladitos estáis, golpistas fascistas....no os está gustando mucho el juicio, ehhhhhhh??? Golpistas, fascistas y violentos.....sois más chulos que un ocho 👏👏👏",0
ES_067,Ada Colau no participará en el besamanos al rey con motivo de la cena del Mobile World Congress por considerar que es un acto de pleitesía y vasallaje impropio de una democracia del siglo XXI . https://t.co/0zsElNdE8V #FelizMartes,1
ES_068,"Para la derechona española, PP, C´s y VOX, y a tenor de como denominan a los independentistas catalanes el referéndum escocés fue un GOLPE DE ESTADO ya que atentaba contra la UNIÓN del Reino Unido... en cerebros simples las cosas siempre se simplifican mucho.",1
ES_069,"@bombers_man @tolanda10 @quimforn Ha estado genial @quimforn, le ha dado mil vueltas a la fiscalia! Nuestros presos políticos y exiliados son muy inteligentes, son un orgullo. Joder para q los tengan cerrados, no hay derecho!.",1
ES_070,@carlesenric Insinúas que los políticos que van en contra de la independencia tienen una vida tranquila?. Espera que me ría 😂 Como se nota que tú no das mitings con gente gritándote y insultándote. En la etapa profesional de Inés anterior a la política te aseguro que vivía más tranquila.,1
ES_071,ENCUESTA | ¿Crees que el juicio está teniendo un 'efecto bumerang' para el Estado? #JuicioProcés https://t.co/6DQxr7PYdq,1
ES_072,@EnricMillo un escudo humano y llevaba una botella de fairy en el caminador! #MilloMentider https://t.co/3xA9QFwpsd,1
ES_073,RT @panximay: @apuente Correcto. Organizar un referèndum no es delito. Se ha dicho hasta la saciedad y siguen insistiendo en eso,1
ES_074,"@superwomanroja @rgh58882 #Persecución #Dictadura #thisIsTheRealSpain #Catalanofobia #inquisitiontocat #FakeJustice #SpainIsAFascistState Constitución Española Sagrada. Pero qué le den por culo a la Constitución Venezolana, golpe de estado por democrácia petrol era ???????????????? https://t.co/aFm29sKXP6",1
ES_075,"#OPINIÓN @LaVanguardia “El independentismo no está preparado para hacer frente a un pacto PSOE-Cs: no es bueno ni lo bastante malo” , por @fmarcalvaro https://t.co/hcAEHomNaf https://t.co/zPH8BE2s4b",1
ES_076,"@GuajeSalvaje Yo creo que lo que habria que hacer es no darle mas publicidad a estos cobardes, viven de ello. Si en verdad hay un 155, hay que declararlos ilegales y vetar sus apariciones publicitarias en todos los medios",0
ES_077,"@protestona1 Lo que deja patidifuso es la urgente y obsesiva necesidad que tenéis de justificar la anti democracia, la xenofobia, el supremacismo, y la insolidaridad de un movimiento que por la fuerza y cobardemente intenta pasar por los derechos de la mayoría (53%) de catalanes. Así os va. https://t.co/nYUCpgDYp8",0
ES_078,"@BeatrizTalegon @lozanoirene Habrá que explicarte a ti que es algo que se llama riesgo de fuga. La manada sin pasaporte lo tienen más difícil para fugarse. Los políticos presos, ya se ha demostrado con la facilidad que huyen cual gallinas que van a poner huevos. Pero bueno. La verdad no te interesa.",0
ES_079,"Fuera el comunismo de América, de Europa y de todo el mundo Fuera los comunistas chavistas de España: ilegalización de PODEMOS y sus nuevas marcas blanqueadas como AHORA MADRID Cuando gobierne @vox_es los ilegalizará junto a separatistas y proetarras https://t.co/fF7Tpe9l4c",0
ES_080,🔴 El independentismo acosa a la secretaria judicial que declaró hoy ante el Tribunal Supremo desvelando su imagen en las redes https://t.co/uurcOR0Zi7,0
ES_081,"Puigdemont recuerda, ante la angustia que sufrió la secretaria judicial el 20-S, el recibimiento del conseller Forn en el aeropuerto del Prat https://t.co/kudAbgYbhW",1
ES_082,RT @jm_clavero: Sant Jaume crida BARCELONA ÉS LA TOMBA DEL FEIXISME (Barcelona es la tumba del fascismo),1
ES_083,Ekaizer: El abogado de Forn ha desmontado el relato de las acusaciones #JuicioProcés https://t.co/LXCeYgRdck,1
ES_084,?? @junqueras: He asumido ir a la cárcel y no poder expresarme durante un año y medio. Pero cada vez que tenga ocasión insistiré en que esta es una cuestión política que exige una solución política #JunquerasAcusa #JudiciAlaDemocràcia https://t.co/YRhwKzY2MG,1
ES_085,@alfrejimglez Empecé a comentar en el Mundial de Brasil 2014 hasta hoy,2
ES_086,"Después de escuchar a Roger Torrent ayer, @rogertorrent , creo que debe ser de @vox_es ...por que vamos, tengo cada vez más claro que en el Parlament de Catalunya @govern debe existir una fuerza como VOX para molestar a los independentistas.",0
ES_087,@JoelJoanJuve De lo único que habéis conseguido la independencia es de vuestras neuronas 😂. Sois el hazmerreír del mundo.,0
ES_088,"@vincinalle @eduardoinda @junqueras @marianorajoy @jaimedeolano @lore9876 @LaRetuerka @AntonioRNaranjo @lapaseata Esperemos que el Tribunal no se crea lo de buena persona , y que tiembla todo él por arrepentimiento...porque LO VOLVERÍA A HACER. TONELADAS de Ley sobre golpistas.",0
ES_089,Diseñó la web Pacte per al referendum No recuerda preguntas que le hace la fiscal 😁😁 Y dice que al final la web no se parecía en nada a lo que había hecho. Era la diseñadora.. Protesta Pina....Marchena echando la siesta,1
ES_090,Esta entrevista a @alfonslopeztena . desnuda las mentiras de los expresidentes del Parlament en el #JuicioProces 👇🏼👇🏼👇🏼 https://t.co/icuxYpPVHw,0
ES_091,RT @PilarHLuc: El preso político Oriol Junqueras ante el Tribunal de la Santa Inquisición #JunquerasAcusa #JudiciFARSA https://t.co/y9FZ7j…,1
ES_092,"En Catalunya antes los artistas q nos representaban eran: Monserrat, Josep Carreras, Serrat... y ahora @valtonyc en Catalunya los políticos buenos se van Xavi Domènech, y los trásfugas se quedan @AlbanoDante76",0
ES_093,"#Puigdemont ha dicho que ve raro que, después de recorrer más de 1.300 kilómetros, #Arrimadas no cubra los últimos metros para entrar en una casa que sabe que tiene las puertas abiertas #Waterloo https://t.co/yDlNzIXV6z",2
ES_094,"La Europa de JUNCKER, TAJANI y TUSK va camino de convertirse en un continente de miseria y deshumanización, donde la extrema derecha y hasta el fascismo volverán a crear el caos.",1
ES_095,RT @RaholaOficial: Qué HDP!: La jefa de @EspanaGlobal compara el referéndum con una violación https://t.co/aGhIyVZbGv,1
ES_096,Gracias Presidente por no olvidar a mi hermano el Diputado @JuanRequesens y a los más de 850 presos políticos! Pronto los veremos libres a todos. https://t.co/jBcDHpoZAB,0
ES_097,Aquí faltan sillas para el banco de los acusados!! Ni un pas enrere!! #joacuso #JudiciFarsa #judiciProcés #FelizLunes #RepublicaCatalana #FreeTothom https://t.co/ojimUMZKdv,1
ES_098,RT @BenetBeca: El Eurodiputado que invitó a Puigdemont a Bruselas denuncia intimidaciones https://t.co/is9kUnsrdL vía @cataladigitalok,1
ES_099,@RicardAris Has dicho Cup.. no trasgiverses lo dicho.. y si no has entendido que Erc ya no es independentista... es que sigues poco el juicio y menos la sociedad catalana.,0
